country;continent;year;lifeExp;pop;gdpPercap
Austria;Europe;1963;69.67;7175811;1.111.670.439
Austria;Europe;1964;70.16;7223801;1.170.563.362
Austria;Europe;1965;69.95;7270889;119.642.821
Austria;Europe;1966;70.26;7322066;1.254.933.397
Austria;Europe;1967;70.14;7376998;128.346.024
Austria;Europe;1968;70.29;7415403;1.333.555.703
Austria;Europe;1969;70.06;7441055;1.412.531.596
Austria;Europe;1970;70.11;7467086;1.507.876.996
Austria;Europe;1971;70.31;7500482;1.577.907.374
Austria;Europe;1972;70.63;7544201;166.616.256
Austria;Europe;1973;71.21;7586115;173.793.273
Austria;Europe;1974;71.2;7599038;18.033.975
Austria;Europe;1975;71.33;7578903;1.801.636.617
Austria;Europe;1976;71.82;7565525;1.887.429.543
Austria;Europe;1977;72.17;7568430;197.494.223
Austria;Europe;1978;72.25;7562305;1.969.361.751
Austria;Europe;1979;72.56;7549425;2.080.339.934
Austria;Europe;1980;72.7;7549433;2.128.470.833
Austria;Europe;1981;73.02;7564629;212.208.879
Austria;Europe;1982;73.18;7574613;2.159.708.362
Austria;Europe;1983;73.25;7552896;2.226.666.334
Austria;Europe;1984;73.79;7554132;223.369.462
Austria;Europe;1985;74.01;7559776;2.282.120.054
Austria;Europe;1986;74.49;7568242;2.332.915.536
Austria;Europe;1987;74.94;7578903;2.368.782.607
Austria;Europe;1988;75.41;7599791;2.437.117.769
Austria;Europe;1989;75.5;7627861;2.530.787.479
Austria;Europe;1990;75.77;7722953;2.613.499.521
Austria;Europe;1991;75.83;7818423;2.674.439.669
Austria;Europe;1992;76.04;7914969;2.704.201.868
Austria;Europe;1993;76.27;7988599;26.882.044.060.000.000
Austria;Europe;1994;76.6;8027540;2.746.347.863
Austria;Europe;1995;76.84;8047433;2.791.881.948
Austria;Europe;1996;77.1;8060852;2.860.235.254
Austria;Europe;1997;77.51;8069876;29.095.920.660.000.000
Austria;Europe;1998;77.88;8078622;3.010.797.838
Austria;Europe;1999;78.06;8094156;3.103.961.877
Austria;Europe;2000;78.35;8113413;3.200.850.466
Austria;Europe;2001;78.85;8131690;3.219.642.488
Austria;Europe;2002;78.98;8148312;3.241.760.769
Austria;Europe;2003;78.98;8162656;3.274.118.737
Austria;Europe;2004;79.49;8174762;3.345.569.403
Austria;Europe;2005;79.66;8184691;34108.0
Austria;Europe;2007;79.829;8199783;361.264.927
Azerbaijan;Asia;1992;65.623;7413618;3.455.542.969
Azerbaijan;Asia;1997;66.328;7695123;1.943.285.094
Azerbaijan;Asia;2002;66.844;7798497;3.059.179.927
Azerbaijan;Asia;2007;67.487;8017309;770.861.119
Bahamas;;1962;64.209;122902;1.511.751.505
Bahamas;;1967;65.795;151120;193.181.061
Bahamas;;1972;66.515;178332;1.815.243.763
Bahamas;;1977;67.199;197499;1.438.066.603
Bahamas;;1982;67.874;219682;204.330.368
Bahamas;;1987;69.524;244042;2.243.801.353
Bahamas;;1992;69.171;264085;1.943.256.931
Bahamas;;1997;68.472;281577;2.099.083.247
Bahamas;;2002;71.068;295131;2.281.096.126
Bahamas;;2007;73.495;305655;2.394.863.751
Bahrain;Asia;1952;5.093.899.999.999.990;120447;9.867.084.765
Bahrain;Asia;1957;53.832;138655;1.163.579.945
Bahrain;Asia;1962;56.923;171863;1.275.327.514
Bahrain;Asia;1967;59.923;202182;148.046.727
Bahrain;Asia;1972;63.3;230800;1.826.865.839
Bahrain;Asia;1977;65.593;297410;1.934.010.196
Bahrain;Asia;1982;6.905.199.999.999.990;377967;1.921.114.731
Bahrain;Asia;1987;70.75;454612;1.852.402.406
Bahrain;Asia;1992;72.601;529491;1.903.557.917
Bahrain;Asia;1997;73.925;598561;2.029.201.679
Bahrain;Asia;2002;74.795;656397;2.340.355.927
Bahrain;Asia;2007;75.635;708573;2.979.604.834
Bangladesh;Asia;1952;37.484;46886859;6.842.441.716
Bangladesh;Asia;1957;39.348;51365468;6.616.374.577
Bangladesh;Asia;1962;41.216;56839289;6.863.415.537.999.990
Bangladesh;Asia;1967;43.453;62821884;7.211.860.862.000.000
Bangladesh;Asia;1972;45.252;70759295;6.302.336.265
Bangladesh;Asia;1977;46.923;80428306;6.598.772.322.000.000
Bangladesh;Asia;1982;5.000.899.999.999.990;93074406;6.769.818.656
Bangladesh;Asia;1987;52.819;103764241;7.519.794.035
Bangladesh;Asia;1992;56.018;113704579;8.378.101.642.999.990
Bangladesh;Asia;1997;59.412;123315288;9.727.700.352
Bangladesh;Asia;2002;6.201.300.000.000.000;135656790;11.363.904.300.000.000
Bangladesh;Asia;2007;64.062;150448339;1.391.253.792
Barbados;;1962;65.87;228747;6.204.489.468
Barbados;;1967;67.62;238224;7.788.544.084.999.990
Barbados;;1972;69.42;242445;9.853.806.374
Barbados;;1977;71.27;249169;1.181.735.591
Barbados;;1982;72.695;253522;1.273.647.247
Barbados;;1987;74.027;259428;1.378.320.898
Barbados;;1992;7.489.399.999.999.990;264925;1.226.345.331
Barbados;;1997;7.491.199.999.999.990;270096;1.390.190.893
Barbados;;2002;75.97;275673;1.454.449.305
Barbados;;2007;77.296;280946;1.702.310.239
Belarus;FSU;1973;72.71;9236465;4.958.608.124
Belarus;FSU;1990;71.15;10215208;6.807.781.056.999.990
Belarus;FSU;1991;70.58;10244639;66.931.884
Belarus;FSU;1992;70.17;10306362;6.014.406.075
Belarus;FSU;1993;69.05;10360516;5.528.263.371
Belarus;FSU;1994;68.82;10387841;4.868.615.987
Belarus;FSU;1995;68.43;10403989;4.355.509.243
Belarus;FSU;1996;68.56;10408773;4.475.405.604
Belarus;FSU;1997;68.37;10404210;4.987.788.391
Belarus;FSU;1998;68.38;10394407;5.411.861.751
Belarus;FSU;1999;67.97;10382370;5.602.352.725
Belarus;FSU;2000;69.0;10366719;5.936.237.819
Belarus;FSU;2001;68.6;10350194;6.225.164.179
Belarus;FSU;2002;68.16;10335382;6.545.789.965
Belarus;FSU;2003;68.7;10322151;6.999.864.668.000.000
Belarus;FSU;2004;69.1;10310520;7.806.724.445.999.990
Belarus;FSU;2005;68.87;10300483;8541.0
Belarus;FSU;2007;69.027;10289007;1.027.377.418
Belgium;Europe;1950;66.35;8639369;7.990.465.840.000.000
Belgium;Europe;1951;66.8;8678386;8.393.415.992
Belgium;Europe;1952;68.0;8730405;8.343.105.126.999.990
Belgium;Europe;1953;68.37;8777873;8.645.372.292
Belgium;Europe;1954;68.63;8819380;8.950.306.725
Belgium;Europe;1955;68.58;8868475;924.472.546
Belgium;Europe;1956;68.87;8923845;9.529.403.593
Belgium;Europe;1957;69.24;8989111;9.714.960.623
Belgium;Europe;1958;69.93;9052707;9.477.273.558
Belgium;Europe;1959;70.33;9103729;9.675.467.689
Belgium;Europe;1960;69.65;9118700;1.007.660.249
Belgium;Europe;1961;70.52;9165800;105.125.111
Belgium;Europe;1962;70.25;9218400;1.099.120.676
Belgium;Europe;1963;70.06;9283100;1.139.612.839
Belgium;Europe;1964;70.73;9367000;1.208.940.942
Belgium;Europe;1965;70.58;9448100;1.240.628.806
Belgium;Europe;1966;70.65;9507800;1.272.017.707
Belgium;Europe;1967;70.94;9556500;1.314.904.119
Belgium;Europe;1968;70.63;9589800;1.364.719.609
Belgium;Europe;1969;70.71;9612700;1.452.074.226
Belgium;Europe;1970;70.97;9637800;1.537.970.523
Belgium;Europe;1971;71.1;9672500;1.589.965.951
Belgium;Europe;1972;71.44;9709100;1.667.214.356
Belgium;Europe;1973;71.65;9738400;1.763.958.142
Belgium;Europe;1974;72.01;9767800;183.251.694
Belgium;Europe;1975;72.0;9794800;180.321.155
Belgium;Europe;1976;72.15;9811000;1.901.994.462
Belgium;Europe;1977;72.8;9821800;1.911.797.448
Belgium;Europe;1978;72.75;9829700;1.964.553.784
Belgium;Europe;1979;73.24;9837200;20.090.120.430.000.000
Belgium;Europe;1980;73.29;9846800;2.096.962.311
Belgium;Europe;1981;73.7;9852400;2.069.613.378
Belgium;Europe;1982;73.93;9856303;2.097.984.589
Belgium;Europe;1983;73.93;9855520;2.097.901.253
Belgium;Europe;1984;74.43;9855300;2.149.893.801
Belgium;Europe;1985;74.54;9858200;2.170.874.541
Belgium;Europe;1986;74.74;9861800;2.202.475.308
Belgium;Europe;1987;75.35;9870200;2.252.556.308
Belgium;Europe;1988;75.66;9884000;235.558.201
Belgium;Europe;1989;75.73;9937697;2.426.923.182
Belgium;Europe;1990;76.14;9969310;24925.91
Belgium;Europe;1991;76.3;10004487;2.529.357.135
Belgium;Europe;1992;76.46;10045622;2.557.557.069
Belgium;Europe;1993;76.48;10085426;2.522.959.834
Belgium;Europe;1994;76.82;10122914;2.594.730.294
Belgium;Europe;1995;76.97;10155459;2.648.094.732
Belgium;Europe;1996;77.31;10178934;2.672.549.837
Belgium;Europe;1997;77.53;10199787;2.756.119.663
Belgium;Europe;1998;77.62;10217030;2.803.061.314
Belgium;Europe;1999;77.8;10235655;289.371.514
Belgium;Europe;2000;77.91;10263618;299.402.047
Belgium;Europe;2001;78.22;10291679;3.009.207.613
Belgium;Europe;2002;78.32;10311970;3.048.588.375
Belgium;Europe;2003;78.47;10330824;307.365.256
Belgium;Europe;2004;79.11;10348276;3.160.001.699
Belgium;Europe;2005;79.2;10364388;32077.0
Belgium;Europe;2007;79.441;10392226;3.369.260.508
Belize;;1950;57.673;65797;1.731.132.728
Belize;;1962;62.678;97594;1.916.319.613
Belize;;1967;65.184;113265;2.099.158.522
Belize;;1972;67.589;127661;2.616.696.579
Belize;;1977;69.747;140578;3.158.688.003
Belize;;1982;71.031;153277;3.732.094.919
Belize;;1987;7.187.899.999.999.990;176347;3.844.931.896
Belize;;1992;7.252.199.999.999.990;200798;57.806.890.939.999.900
Belize;;1997;74.405;228884;563.150.107
Belize;;2002;75.586;261138;6.799.541.995.000.000
Belize;;2007;7.612.100.000.000.000;294385;7.550.225.543
Benin;Africa;1952;38.223;1738315;10.627.522
Benin;Africa;1957;40.358;1925173;9.596.010.805
Benin;Africa;1962;42.618;2151895;9.494.990.641
Benin;Africa;1967;44.885;2427334;1.035.831.411
Benin;Africa;1972;47.014;2761407;1.085.796.879
Benin;Africa;1977;49.19;3168267;1.029.161.251
Benin;Africa;1982;50.904;3641603;1.277.897.616
Benin;Africa;1987;52.337;4243788;122.585.601
Benin;Africa;1992;53.919;4981671;1.191.207.681
Benin;Africa;1997;54.777;6066080;1.232.975.292
Benin;Africa;2002;5.440.600.000.000.000;7026113;1.372.877.931
Benin;Africa;2007;56.728;8078314;1.441.284.873
Bhutan;Asia;1972;41.837;1087991;8.076.225.857.999.990
Bhutan;Asia;1977;44.708;1205659;8.163.101.525.000.000
Bhutan;Asia;1982;47.872;1333704;9.468.129.965
Bhutan;Asia;1987;50.717;1490857;1.494.290.085
Bhutan;Asia;1992;54.471;1673428;190.417.945
Bhutan;Asia;1997;58.929;1876236;2.561.507.659
Bhutan;Asia;2002;63.458;2094176;3.256.019.293
Bhutan;Asia;2007;65.625;2327849;4.744.640.019
Bolivia;Americas;1952;40.414;2883315;2.677.326.347
Bolivia;Americas;1957;41.89;3211738;2.127.686.326
Bolivia;Americas;1962;43.428;3593918;2.180.972.546
Bolivia;Americas;1967;45.032;4040665;2.586.886.053
Bolivia;Americas;1972;46.714;4565872;2.980.331.339
Bolivia;Americas;1977;50.023;5079716;3.548.097.832
Bolivia;Americas;1982;53.859;5642224;3.156.510.452
Bolivia;Americas;1987;5.725.100.000.000.000;6156369;275.369.149
Bolivia;Americas;1992;59.957;6893451;2.961.699.694
Bolivia;Americas;1997;62.05;7693188;3.326.143.191
Bolivia;Americas;2002;63.883;8445134;341.326.269
Bolivia;Americas;2007;65.554;9119152;3.822.137.084
Bosnia and Herzegovina;Europe;1952;53.82;2791000;9.735.331.948
Bosnia and Herzegovina;Europe;1957;58.45;3076000;1.353.989.176
Bosnia and Herzegovina;Europe;1962;61.93;3349000;1.709.683.679
Bosnia and Herzegovina;Europe;1967;64.79;3585000;21.723.524.230.000.000
Bosnia and Herzegovina;Europe;1972;67.45;3819000;286.016.975
Bosnia and Herzegovina;Europe;1977;69.86;4086000;3.528.481.305
Bosnia and Herzegovina;Europe;1982;70.69;4172693;4.126.613.157
Bosnia and Herzegovina;Europe;1987;71.14;4338977;4.314.114.757
Bosnia and Herzegovina;Europe;1992;72.178;4256013;2.546.781.445
Bosnia and Herzegovina;Europe;1997;73.244;3607000;4.766.355.904
Bosnia and Herzegovina;Europe;2002;74.09;4165416;6.018.975.239
Bosnia and Herzegovina;Europe;2007;74.852;4552198;7.446.298.803
Botswana;Africa;1952;47.622;442308;8.512.411.407
Botswana;Africa;1957;49.618;474639;9.182.325.349
Botswana;Africa;1962;51.52;512764;9.836.539.764
Botswana;Africa;1967;53.298;553541;1.214.709.294
Botswana;Africa;1972;56.024;619351;22.636.111.140.000.000
Botswana;Africa;1977;59.319;781472;3.214.857.818
Botswana;Africa;1982;61.484;970347;455.114.215
Botswana;Africa;1987;63.622;1151184;620.588.385
Botswana;Africa;1992;62.745;1342614;7.954.111.645
Botswana;Africa;1997;52.556;1536536;8.647.142.313
Botswana;Africa;2002;4.663.399.999.999.990;1630347;1.100.360.508
Botswana;Africa;2007;50.728;1639131;1.256.985.177
Brazil;Americas;1952;50.917;56602560;2.108.944.355
Brazil;Americas;1957;53.285;65551171;2.487.365.989
Brazil;Americas;1962;55.665;76039390;3.336.585.802
Brazil;Americas;1967;57.632;88049823;3.429.864.357
Brazil;Americas;1972;59.504;100840058;4.985.711.467
Brazil;Americas;1977;61.489;114313951;6.660.118.654
Brazil;Americas;1982;6.333.600.000.000.000;128962939;7.030.835.878
Brazil;Americas;1987;65.205;142938076;7.807.095.818.000.000
Brazil;Americas;1992;67.057;155975974;6.950.283.020.999.990
Brazil;Americas;1997;69.388;168546719;7.957.980.823.999.990
Brazil;Americas;2002;71.006;179914212;8.131.212.843.000.000
Brazil;Americas;2007;72.39;190010647;9.065.800.825
Brunei;Asia;1972;68.34;141500;5.411.715.906.000.000
Brunei;Asia;1977;69.66;167216;7.255.522.854
Brunei;Asia;1982;71.62;199468;6.240.721.057
Brunei;Asia;1987;73.2;235357;5.358.590.355
Brunei;Asia;1992;74.471;273701;4.917.440.543
Brunei;Asia;1997;75.465;313563;489.673.126
Brunei;Asia;2002;76.315;350898;4.890.634.894
Brunei;Asia;2007;77.118;386511;4.801.458.767
Bulgaria;Europe;1950;61.39;7250500;2.131.563.149
Bulgaria;Europe;1951;60.63;7258200;2.567.424.534
Bulgaria;Europe;1952;59.6;7274900;2.444.286.648
Bulgaria;Europe;1953;64.14;7346100;2.691.935.068
Bulgaria;Europe;1954;64.4;7423300;2.613.983.108
Bulgaria;Europe;1955;64.81;7499400;2.772.894.304
Bulgaria;Europe;1956;65.21;7575800;2.747.377.929
Bulgaria;Europe;1957;66.61;7651254;3.008.670.727
Bulgaria;Europe;1958;68.71;7727553;3.238.108.918
Bulgaria;Europe;1959;66.57;7797777;3.464.569.652
Bulgaria;Europe;1960;69.18;7867374;375.916.551
Bulgaria;Europe;1961;70.22;7943118;3.966.093.248
Bulgaria;Europe;1962;69.51;8012946;4.254.337.839
Bulgaria;Europe;1963;70.34;8078145;4.412.810.322
Bulgaria;Europe;1964;71.14;8144339;4.721.863.908
Bulgaria;Europe;1965;71.3;8201400;497.048.803
Bulgaria;Europe;1966;71.23;8258057;5.325.953.431
Bulgaria;Europe;1967;70.42;8310226;55.770.028
Bulgaria;Europe;1968;71.25;8369603;5.639.346.751
Bulgaria;Europe;1969;70.43;8434172;5.868.782.679.999.990
Bulgaria;Europe;1970;71.27;8489574;6.162.468.503
Bulgaria;Europe;1971;70.87;8536395;6.328.504.247
Bulgaria;Europe;1972;70.9;8576200;6.597.494.398
Bulgaria;Europe;1973;71.34;8620997;68.223.852.689.999.900
Bulgaria;Europe;1974;71.2;8678745;6.989.571.515.000.000
Bulgaria;Europe;1975;71.05;8720742;7.527.863.173.000.000
Bulgaria;Europe;1976;71.38;8755037;7.722.871.137
Bulgaria;Europe;1977;70.81;8797022;7.612.240.438
Bulgaria;Europe;1978;71.17;8803281;7.771.118.048
Bulgaria;Europe;1979;71.27;8811589;8.062.600.739
Bulgaria;Europe;1980;71.1;8843528;7.802.845.798
Bulgaria;Europe;1981;71.49;8869441;7.987.015.204
Bulgaria;Europe;1982;71.08;8892098;8.224.191.647
Bulgaria;Europe;1983;71.25;8910284;8.052.372.566
Bulgaria;Europe;1984;71.35;8928271;8.301.979.654
Bulgaria;Europe;1985;71.07;8943573;8.037.950.013
Bulgaria;Europe;1986;71.55;8958770;8.236.461.605
Bulgaria;Europe;1987;71.34;8971958;8.239.854.824
Bulgaria;Europe;1988;71.4;8982025;8.179.010.541
Bulgaria;Europe;1989;71.46;8990055;8.025.266.041
Bulgaria;Europe;1990;71.31;8894028;7.225.877.958
Bulgaria;Europe;1991;71.18;8772368;6.710.698.795
Bulgaria;Europe;1992;71.19;8658506;6.302.623.438.000.000
Bulgaria;Europe;1993;71.18;8441872;636.739.497
Bulgaria;Europe;1994;70.85;8353335;6.550.710.885
Bulgaria;Europe;1995;70.95;8255811;6.820.307.623.999.990
Bulgaria;Europe;1996;70.85;8161026;6.250.966.075
Bulgaria;Europe;1997;70.32;8066057;597.038.876
Bulgaria;Europe;1998;70.91;7971774;6.282.641.215
Bulgaria;Europe;1999;71.57;7893227;6.491.099.672
Bulgaria;Europe;2000;71.59;7818495;6.907.013.722
Bulgaria;Europe;2001;71.9;7738416;7.264.607.226
Bulgaria;Europe;2002;72.14;7661799;7.696.777.725
Bulgaria;Europe;2003;72.35;7588399;8.105.388.755
Bulgaria;Europe;2004;72.54;7517973;8.721.228.028
Bulgaria;Europe;2005;72.52;7450349;9353.0
Bulgaria;Europe;2007;73.005;7322858;1.068.079.282
Burkina Faso;Africa;1952;31.975;4469979;5.432.552.413
Burkina Faso;Africa;1957;34.906;4713416;6.171.834.647.999.990
Burkina Faso;Africa;1962;37.814;4919632;7.225.120.206
Burkina Faso;Africa;1967;40.697;5127935;7.948.265.597
Burkina Faso;Africa;1972;43.591;5433886;8.547.359.763.000.000
Burkina Faso;Africa;1977;46.137;5889574;7.433.870.368
Burkina Faso;Africa;1982;48.122;6634596;8.071.985.855
Burkina Faso;Africa;1987;49.557;7586551;9.120.631.417
Burkina Faso;Africa;1992;50.26;8878303;9.317.527.731
Burkina Faso;Africa;1997;50.324;10352843;9.462.949.618
Burkina Faso;Africa;2002;50.65;12251209;1.037.645.221
Burkina Faso;Africa;2007;52.295;14326203;1.217.032.994
Burundi;Africa;1952;39.031;2445618;3.392.964.587
Burundi;Africa;1957;40.533;2667518;37.956.462.810.000.000
Burundi;Africa;1962;42.045;2961915;3.552.032.273
Burundi;Africa;1967;43.548;3330989;41.297.751.360.000.000
Burundi;Africa;1972;44.057;3529983;4.640.995.039
Burundi;Africa;1977;45.91;3834415;5.561.032.651
Burundi;Africa;1982;47.471;4580410;5.596.032.309.999.990
Burundi;Africa;1987;4.821.100.000.000.000;5126023;6.218.188.188.999.990
Burundi;Africa;1992;44.736;5809236;6.316.998.778
Burundi;Africa;1997;45.326;6121610;4.631.151.478
Burundi;Africa;2002;47.36;7021078;4.464.035.126
Burundi;Africa;2007;49.58;8390505;4.300.706.916
Cambodia;Asia;1952;39.417;4693836;3.684.692.856
Cambodia;Asia;1957;4.136.600.000.000.000;5322536;4.340.383.364
Cambodia;Asia;1962;43.415;6083619;4.969.136.476
Cambodia;Asia;1967;45.415;6960067;5.234.323.142
Cambodia;Asia;1972;40.317;7450606;4.216.240.257
Cambodia;Asia;1977;31.22;6978607;5.249.721.831.999.990
Cambodia;Asia;1982;50.957;7272485;6.244.754.784
Cambodia;Asia;1987;53.914;8371791;6.838.955.732.000.000
Cambodia;Asia;1992;55.803;10150094;6.823.031.755
Cambodia;Asia;1997;56.534;11782962;73.428.517
Cambodia;Asia;2002;56.752;12926707;8.962.260.152.999.990
Cambodia;Asia;2007;59.723;14131858;1.713.778.686
Cameroon;Africa;1952;38.523;5009067;1.172.667.655
Cameroon;Africa;1957;40.428;5359923;1.313.048.099
Cameroon;Africa;1962;42.643;5793633;1.399.607.441
Cameroon;Africa;1967;44.799;6335506;1.508.453.148
Cameroon;Africa;1972;47.049;7021028;16.841.465.280.000.000
